replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
AF503408.1	AF503408.1_15	ulx	15	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF503408.1_dar_ddr_hdf_ulx_1	1	1	0.333	2.0	1	ulx	mandatory	147	3.2e-63	204.6	0.986	0.973	1	143			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF503408.1	AF503408.1_16	darb	16	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF503408.1_dar_ddr_hdf_ulx_1	1	1	0.333	2.0	1	darb	mandatory	2256	0.0	5435.5	1.0	1.0	1	2255			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF503408.1	AF503408.1_23	ddrb	23	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF503408.1_dar_ddr_hdf_ulx_2	1	1	0.667	4.0	1	ddrb	mandatory	996	0.0	1875.0	0.999	0.998	1	994			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF503408.1	AF503408.1_24	ddra	24	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF503408.1_dar_ddr_hdf_ulx_2	1	1	0.667	4.0	1	ddra	mandatory	122	9.999999999999999e-57	183.1	1.0	0.992	1	121			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF503408.1	AF503408.1_25	dara	25	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF503408.1_dar_ddr_hdf_ulx_2	1	1	0.667	4.0	1	dara	mandatory	640	0.0	1258.9	1.0	0.997	1	638			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF503408.1	AF503408.1_26	hdf	26	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF503408.1_dar_ddr_hdf_ulx_2	1	1	0.667	4.0	1	hdf	mandatory	201	2.3e-83	271.7	0.976	0.99	1	199			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AJ697969	AJ697969_118	acb1	118	defense-finder-models/ADF/Anti_CBASS/acb1	AJ697969_acb1_1	1	1	1.0	1.0	1	acb1	mandatory	142	3.1e-12	40.0	0.608	0.634	30	119			Anti_CBASS	acb1	Antidefense
AM749441	AM749441_73	klca	73	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	AM749441_ardb_klca_acric11_1	1	1	1.0	0.8	1	ardb	mandatory	137	1.4e-51	166.6	0.822	0.978	3	136			Anti_RM	ardb_klca_acric11	Antidefense
AP019418	AP019418_179	tad1	179	defense-finder-models/ADF/Anti_Thoeris/tad1	AP019418_tad1_1	1	1	1.0	1.0	1	tad1	mandatory	231	2.5e-21	70.5	0.835	0.468	120	227			Anti_Thoeris	tad1	Antidefense
AY266303.2	AY266303.2_305	acb1	305	defense-finder-models/ADF/Anti_CBASS/acb1	AY266303.2_acb1_1	1	1	1.0	1.0	1	acb1	mandatory	165	2.1e-52	171.1	0.954	0.933	10	163			Anti_CBASS	acb1	Antidefense
AY375531.1	AY375531.1_35	alt	35	defense-finder-models/ADF/Anti_TA/alt	AY375531.1_alt_3	1	1	1.0	1.0	1	alt	mandatory	643	1.2e-191	632.7	0.994	0.995	2	641			Anti_TA	alt	Antidefense
AY375531.1	AY375531.1_174	narp2_nampt	174	defense-finder-models/ADF/NADP/NARP2	AY375531.1_NARP2_1	1	1	1.0	2.0	1	narp2_nampt	mandatory	485	1.1e-172	569.2	0.797	0.885	6	434			NADP	NARP2	Antidefense
AY375531.1	AY375531.1_185	narp2_nmnat	185	defense-finder-models/ADF/NADP/NARP2	AY375531.1_NARP2_1	1	1	1.0	2.0	1	narp2_nmnat	mandatory	353	1.1000000000000001e-100	331.1	0.869	0.986	4	351			NADP	NARP2	Antidefense
AY375531.1	AY375531.1_234	acb1	234	defense-finder-models/ADF/Anti_CBASS/acb1	AY375531.1_acb1_2	1	1	1.0	1.0	1	acb1	mandatory	143	6.6e-54	175.6	0.928	0.979	3	142			Anti_CBASS	acb1	Antidefense
AY394005	AY394005_5	acrif2_c2	5	defense-finder-models/ADF/Anti_CRISPR/acrif2_c2	AY394005_acrif2_c2_2	1	1	0.143	1.5	1	acrif2_c2	mandatory	97	4.1e-58	185.8	1.0	0.979	1	95			Anti_CRISPR	acrif2_c2	Antidefense
AY394005	AY394005_7	aca1	7	defense-finder-models/ADF/Anti_CRISPR/acrif2_c2	AY394005_acrif2_c2_2	1	1	0.143	1.5	1	aca1	accessory	75	8.1e-40	126.8	0.958	0.92	3	71		AY394005_Aca_alone_1	Anti_CRISPR	acrif2_c2	Antidefense
AY575774	AY575774_17	acb2	17	defense-finder-models/ADF/Anti_CBASS/acb2	AY575774_acb2_1	1	1	1.0	1.0	1	acb2	mandatory	94	1.3e-41	132.8	0.979	0.979	1	92			Anti_CBASS	acb2	Antidefense
AY962392.1	AY962392.1_34	alt	34	defense-finder-models/ADF/Anti_TA/alt	AY962392.1_alt_3	1	1	1.0	1.0	1	alt	mandatory	643	1.7999999999999998e-191	632.0	0.994	0.995	2	641			Anti_TA	alt	Antidefense
AY962392.1	AY962392.1_171	narp2_nampt	171	defense-finder-models/ADF/NADP/NARP2	AY962392.1_NARP2_1	1	1	1.0	2.0	1	narp2_nampt	mandatory	485	1.3e-172	568.9	0.797	0.885	6	434			NADP	NARP2	Antidefense
AY962392.1	AY962392.1_182	narp2_nmnat	182	defense-finder-models/ADF/NADP/NARP2	AY962392.1_NARP2_1	1	1	1.0	2.0	1	narp2_nmnat	mandatory	353	2.9e-101	333.0	0.869	0.986	4	351			NADP	NARP2	Antidefense
AY962392.1	AY962392.1_231	acb1	231	defense-finder-models/ADF/Anti_CBASS/acb1	AY962392.1_acb1_2	1	1	1.0	1.0	1	acb1	mandatory	143	6.5e-54	175.6	0.928	0.979	3	142			Anti_CBASS	acb1	Antidefense
BK061477	BK061477_37	adnd_p0020	37	defense-finder-models/ADF/Anti_Dnd/Adnd_p0020_p0021	BK061477_Adnd_p0020_p0021_1	1	1	0.5	1.0	1	adnd_p0020	mandatory	283	5.1e-82	267.7	0.915	0.982	1	278			Anti_Dnd	Adnd_p0020_p0021	Antidefense
BK061479	BK061479_9	acb2	9	defense-finder-models/ADF/Anti_CBASS/acb2	BK061479_acb2_1	1	1	1.0	1.0	1	acb2	mandatory	109	2.3e-41	132.2	0.979	0.982	1	107			Anti_CBASS	acb2	Antidefense
CP019649.1	CP019649.1_2901	ardc	2901	defense-finder-models/ADF/Anti_RM/ardc	CP019649.1_ardc_1	1	1	1.0	1.0	1	ardc	mandatory	352	4.2e-103	342.8	0.879	0.901	30	346			Anti_RM	ardc	Antidefense
CP029707.1	CP029707.1_4430	acrif12	4430	defense-finder-models/ADF/Anti_CRISPR/acrif12	CP029707.1_acrif12_3	1	1	0.071	1.0	1	acrif12	mandatory	125	9.100000000000001e-60	199.0	1.0	0.992	1	124			Anti_CRISPR	acrif12	Antidefense
CP029707.1	CP029707.1_4431	acrie1	4431	defense-finder-models/ADF/Anti_CRISPR/acrie1	CP029707.1_acrie1_2	1	1	0.071	1.0	1	acrie1	mandatory	108	4.2e-64	211.8	0.99	0.963	4	107			Anti_CRISPR	acrie1	Antidefense
CP029707.1	CP029707.1_6495	adnd_p0020	6495	defense-finder-models/ADF/Anti_Dnd/Adnd_p0020_p0021	CP029707.1_Adnd_p0020_p0021_1	1	1	0.5	1.0	1	adnd_p0020	mandatory	353	1.1e-82	276.6	0.925	0.839	1	296			Anti_Dnd	Adnd_p0020_p0021	Antidefense
DQ163912	DQ163912_50	adnd_p0020	50	defense-finder-models/ADF/Anti_Dnd/Adnd_p0020_p0021	DQ163912_Adnd_p0020_p0021_1	1	1	0.5	1.0	1	adnd_p0020	mandatory	295	7.4e-60	195.2	0.559	0.583	1	172			Anti_Dnd	Adnd_p0020_p0021	Antidefense
DQ163914	DQ163914_17	acb2	17	defense-finder-models/ADF/Anti_CBASS/acb2	DQ163914_acb2_1	1	1	1.0	1.0	1	acb2	mandatory	94	9.2e-40	126.9	0.979	0.979	1	92			Anti_CBASS	acb2	Antidefense
DQ163916	DQ163916_74	klca	74	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	DQ163916_ardb_klca_acric11_1	1	1	1.0	0.8	1	ardb	mandatory	138	6.3e-50	161.3	0.822	0.978	3	137			Anti_RM	ardb_klca_acric11	Antidefense
DQ631426	DQ631426_5	acrie3	5	defense-finder-models/ADF/Anti_CRISPR/acrie3	DQ631426_acrie3_2	1	1	0.143	1.5	1	acrie3	mandatory	69	2.7e-47	150.8	1.0	0.986	1	68			Anti_CRISPR	acrie3	Antidefense
DQ631426	DQ631426_6	aca1	6	defense-finder-models/ADF/Anti_CRISPR/acrie3	DQ631426_acrie3_2	1	1	0.143	1.5	1	aca1	accessory	74	2.9e-41	131.4	0.972	0.946	1	70		DQ631426_Aca_alone_1	Anti_CRISPR	acrie3	Antidefense
DQ873690	DQ873690_5	acrie2	5	defense-finder-models/ADF/Anti_CRISPR/acrie2	DQ873690_acrie2_2	1	1	0.143	1.5	1	acrie2	mandatory	85	5.5e-50	160.0	0.988	0.976	1	83			Anti_CRISPR	acrie2	Antidefense
DQ873690	DQ873690_6	acrif3	6	defense-finder-models/ADF/Anti_CRISPR/acrif3	DQ873690_acrif3_3	1	1	0.143	1.5	1	acrif3	mandatory	141	2.8e-84	272.1	0.993	0.979	1	138			Anti_CRISPR	acrif3	Antidefense
DQ873690	DQ873690_7	aca1	7	defense-finder-models/ADF/Anti_CRISPR/acrie2	DQ873690_acrie2_2	1	1	0.143	1.5	1	aca1	accessory	75	1.8e-39	125.6	0.958	0.92	3	71		DQ873690_Aca_alone_1,DQ873690_acrif3_3	Anti_CRISPR	acrie2	Antidefense
DQ873690	DQ873690_7	aca1	7	defense-finder-models/ADF/Anti_CRISPR/acrif3	DQ873690_acrif3_3	1	1	0.143	1.5	1	aca1	accessory	75	1.8e-39	125.6	0.958	0.92	3	71		DQ873690_Aca_alone_1,DQ873690_acrie2_2	Anti_CRISPR	acrif3	Antidefense
EF469154.1	EF469154.1_146	dmd	146	defense-finder-models/ADF/Anti_TA/dmd	EF469154.1_dmd_3	1	1	1.0	1.0	1	dmd	mandatory	68	3.2000000000000003e-38	123.7	1.0	0.985	1	67			Anti_TA	dmd	Antidefense
EF469154.1	EF469154.1_224	acb2	224	defense-finder-models/ADF/Anti_CBASS/acb2	EF469154.1_acb2_2	1	1	1.0	1.0	1	acb2	mandatory	93	6.7e-11	36.7	0.916	0.935	4	90			Anti_CBASS	acb2	Antidefense
EF469154.1	EF469154.1_261	acb1	261	defense-finder-models/ADF/Anti_CBASS/acb1	EF469154.1_acb1_1	1	1	1.0	1.0	1	acb1	mandatory	152	1.6e-67	220.0	0.98	0.967	3	149			Anti_CBASS	acb1	Antidefense
EU197055	EU197055_195	tad1	195	defense-finder-models/ADF/Anti_Thoeris/tad1	EU197055_tad1_1	1	1	1.0	1.0	1	tad1	mandatory	200	7.9e-21	69.2	0.785	0.51	96	197			Anti_Thoeris	tad1	Antidefense
EU272036	EU272036_5	acrif2_c2	5	defense-finder-models/ADF/Anti_CRISPR/acrif2_c2	EU272036_acrif2_c2_2	1	1	0.143	1.5	1	acrif2_c2	mandatory	98	9.6e-58	184.5	1.0	0.969	1	95			Anti_CRISPR	acrif2_c2	Antidefense
EU272036	EU272036_6	aca1	6	defense-finder-models/ADF/Anti_CRISPR/acrif2_c2	EU272036_acrif2_c2_2	1	1	0.143	1.5	1	aca1	accessory	74	2.9e-41	131.3	0.972	0.946	1	70		EU272036_Aca_alone_1	Anti_CRISPR	acrif2_c2	Antidefense
GU988610	GU988610_142	narp1_namat	142	defense-finder-models/ADF/NADP/NARP1	GU988610_NARP1_1	1	1	1.0	2.0	1	narp1_namat	mandatory	563	2.2e-206	679.7	0.987	0.993	2	560			NADP	NARP1	Antidefense
GU988610	GU988610_144	narp1_adps	144	defense-finder-models/ADF/NADP/NARP1	GU988610_NARP1_1	1	1	1.0	2.0	1	narp1_adps	mandatory	292	3.3000000000000004e-89	292.3	0.851	0.901	24	286			NADP	NARP1	Antidefense
HE584812	HE584812_5	acrif7	5	defense-finder-models/ADF/Anti_CRISPR/acrif7	HE584812_acrif7_2	1	1	0.143	1.5	1	acrif7	mandatory	68	6.400000000000001e-44	139.8	0.882	0.985	1	67			Anti_CRISPR	acrif7	Antidefense
HE584812	HE584812_6	aca1	6	defense-finder-models/ADF/Anti_CRISPR/acrif7	HE584812_acrif7_2	1	1	0.143	1.5	1	aca1	accessory	77	6.399999999999999e-41	130.3	0.972	0.909	4	73		HE584812_Aca_alone_1	Anti_CRISPR	acrif7	Antidefense
HE983845	HE983845_142	narp1_namat	142	defense-finder-models/ADF/NADP/NARP1	HE983845_NARP1_1	1	1	1.0	2.0	1	narp1_namat	mandatory	563	3.9e-208	685.5	0.987	0.993	2	560			NADP	NARP1	Antidefense
HE983845	HE983845_144	narp1_adps	144	defense-finder-models/ADF/NADP/NARP1	HE983845_NARP1_1	1	1	1.0	2.0	1	narp1_adps	mandatory	292	2.9e-87	285.9	0.851	0.901	24	286			NADP	NARP1	Antidefense
HG798806	HG798806_35	vcrx091	35	defense-finder-models/ADF/Anti_CRISPR/vcrx091_093	HG798806_vcrx091_093_3	1	1	0.667	2.0	1	vcrx091	mandatory	149	6.3e-82	266.2	0.654	0.987	2	148			Anti_CRISPR	vcrx091_093	Antidefense
HG798806	HG798806_37	vcrx092	37	defense-finder-models/ADF/Anti_CRISPR/vcrx091_093	HG798806_vcrx091_093_3	1	1	0.667	2.0	1	vcrx092	mandatory	249	2.3e-81	265.6	0.621	0.719	7	185			Anti_CRISPR	vcrx091_093	Antidefense
HG798806	HG798806_64	aca1	64	defense-finder-models/ADF/Anti_CRISPR/acrif7	HG798806_acrif7_2	1	1	0.143	1.5	1	aca1	accessory	73	4.0000000000000004e-39	124.9	0.944	0.932	4	71		HG798806_Aca_alone_1	Anti_CRISPR	acrif7	Antidefense
HG798806	HG798806_65	acrif7	65	defense-finder-models/ADF/Anti_CRISPR/acrif7	HG798806_acrif7_2	1	1	0.143	1.5	1	acrif7	mandatory	68	8.300000000000001e-44	139.8	0.882	0.985	1	67			Anti_CRISPR	acrif7	Antidefense
HM624080	HM624080_6	acrif3	6	defense-finder-models/ADF/Anti_CRISPR/acrif3	HM624080_acrif3_2	1	1	0.143	1.5	1	acrif3	mandatory	140	9.2e-85	273.7	0.993	0.986	1	138			Anti_CRISPR	acrif3	Antidefense
HM624080	HM624080_7	acrif5	7	defense-finder-models/ADF/Anti_CRISPR/acrif5	HM624080_acrif5_3	1	1	0.143	1.5	1	acrif5	mandatory	80	1.5e-58	186.5	1.0	0.988	1	79			Anti_CRISPR	acrif5	Antidefense
HM624080	HM624080_8	aca1	8	defense-finder-models/ADF/Anti_CRISPR/acrif3	HM624080_acrif3_2	1	1	0.143	1.5	1	aca1	accessory	74	7e-41	130.1	0.972	0.946	1	70		HM624080_Aca_alone_1,HM624080_acrif5_3	Anti_CRISPR	acrif3	Antidefense
HM624080	HM624080_8	aca1	8	defense-finder-models/ADF/Anti_CRISPR/acrif5	HM624080_acrif5_3	1	1	0.143	1.5	1	aca1	accessory	74	7e-41	130.1	0.972	0.946	1	70		HM624080_Aca_alone_1,HM624080_acrif3_2	Anti_CRISPR	acrif5	Antidefense
HQ630627	HQ630627_186	tad1	186	defense-finder-models/ADF/Anti_Thoeris/tad1	HQ630627_tad1_1	1	1	1.0	1.0	1	tad1	mandatory	190	2.3e-18	61.1	0.793	0.542	85	187			Anti_Thoeris	tad1	Antidefense
HQ832595	HQ832595_142	narp1_namat	142	defense-finder-models/ADF/NADP/NARP1	HQ832595_NARP1_1	1	1	1.0	2.0	1	narp1_namat	mandatory	563	5.5e-208	685.0	0.987	0.993	2	560			NADP	NARP1	Antidefense
HQ832595	HQ832595_144	narp1_adps	144	defense-finder-models/ADF/NADP/NARP1	HQ832595_NARP1_1	1	1	1.0	2.0	1	narp1_adps	mandatory	289	3.8e-88	288.8	0.858	0.91	21	283			NADP	NARP1	Antidefense
JN175269	JN175269_62	rad	62	defense-finder-models/ADF/Anti_Retron/rad	JN175269_rad_1	1	1	1.0	1.0	1	rad	mandatory	176	5.6999999999999996e-70	226.6	0.983	0.96	2	170			Anti_Retron	rad	Antidefense
JN627160	JN627160_249	acb1	249	defense-finder-models/ADF/Anti_CBASS/acb1	JN627160_acb1_1	1	1	1.0	1.0	1	acb1	mandatory	154	2.6e-13	44.0	0.582	0.591	33	123			Anti_CBASS	acb1	Antidefense
JN627160	JN627160_250	tad1	250	defense-finder-models/ADF/Anti_Thoeris/tad1	JN627160_tad1_2	1	1	1.0	1.0	1	tad1	mandatory	142	2.1e-23	77.0	0.81	0.669	46	140			Anti_Thoeris	tad1	Antidefense
JN808773	JN808773_5	acrie2	5	defense-finder-models/ADF/Anti_CRISPR/acrie2	JN808773_acrie2_2	1	1	0.143	1.5	1	acrie2	mandatory	85	5.9e-50	160.0	0.988	0.976	1	83			Anti_CRISPR	acrie2	Antidefense
JN808773	JN808773_6	acrif3	6	defense-finder-models/ADF/Anti_CRISPR/acrif3	JN808773_acrif3_3	1	1	0.143	1.5	1	acrif3	mandatory	141	3.1e-84	272.1	0.993	0.979	1	138			Anti_CRISPR	acrif3	Antidefense
JN808773	JN808773_7	aca1	7	defense-finder-models/ADF/Anti_CRISPR/acrie2	JN808773_acrie2_2	1	1	0.143	1.5	1	aca1	accessory	75	2.0000000000000002e-39	125.6	0.958	0.92	3	71		JN808773_Aca_alone_1,JN808773_acrif3_3	Anti_CRISPR	acrie2	Antidefense
JN808773	JN808773_7	aca1	7	defense-finder-models/ADF/Anti_CRISPR/acrif3	JN808773_acrif3_3	1	1	0.143	1.5	1	aca1	accessory	75	2.0000000000000002e-39	125.6	0.958	0.92	3	71		JN808773_Aca_alone_1,JN808773_acrie2_2	Anti_CRISPR	acrif3	Antidefense
JN811560	JN811560_5	acrie3	5	defense-finder-models/ADF/Anti_CRISPR/acrie3	JN811560_acrie3_2	1	1	0.143	1.5	1	acrie3	mandatory	66	1.1e-45	145.8	0.941	0.97	1	64			Anti_CRISPR	acrie3	Antidefense
JN811560	JN811560_6	acrif4	6	defense-finder-models/ADF/Anti_CRISPR/acrif4	JN811560_acrif4_3	1	1	0.143	1.5	1	acrif4	mandatory	101	9.3e-60	191.2	1.0	0.98	2	100			Anti_CRISPR	acrif4	Antidefense
JN811560	JN811560_7	aca1	7	defense-finder-models/ADF/Anti_CRISPR/acrie3	JN811560_acrie3_2	1	1	0.143	1.5	1	aca1	accessory	84	1.3999999999999999e-39	126.1	0.958	0.821	12	80		JN811560_Aca_alone_1,JN811560_acrif4_3	Anti_CRISPR	acrie3	Antidefense
JN811560	JN811560_7	aca1	7	defense-finder-models/ADF/Anti_CRISPR/acrif4	JN811560_acrif4_3	1	1	0.143	1.5	1	aca1	accessory	84	1.3999999999999999e-39	126.1	0.958	0.821	12	80		JN811560_Aca_alone_1,JN811560_acrie3_2	Anti_CRISPR	acrif4	Antidefense
JQ067085	JQ067085_5	acrie3	5	defense-finder-models/ADF/Anti_CRISPR/acrie3	JQ067085_acrie3_2	1	1	0.143	1.5	1	acrie3	mandatory	66	1.0000000000000001e-45	145.8	0.941	0.97	1	64			Anti_CRISPR	acrie3	Antidefense
JQ067085	JQ067085_6	acrif4	6	defense-finder-models/ADF/Anti_CRISPR/acrif4	JQ067085_acrif4_3	1	1	0.143	1.5	1	acrif4	mandatory	101	8.6e-60	191.2	1.0	0.98	2	100			Anti_CRISPR	acrif4	Antidefense
JQ067085	JQ067085_7	aca1	7	defense-finder-models/ADF/Anti_CRISPR/acrie3	JQ067085_acrie3_2	1	1	0.143	1.5	1	aca1	accessory	84	1.3e-39	126.1	0.958	0.821	12	80		JQ067085_Aca_alone_1,JQ067085_acrif4_3	Anti_CRISPR	acrie3	Antidefense
JQ067085	JQ067085_7	aca1	7	defense-finder-models/ADF/Anti_CRISPR/acrif4	JQ067085_acrif4_3	1	1	0.143	1.5	1	aca1	accessory	84	1.3e-39	126.1	0.958	0.821	12	80		JQ067085_Aca_alone_1,JQ067085_acrie3_2	Anti_CRISPR	acrif4	Antidefense
JQ067091	JQ067091_21	acb2	21	defense-finder-models/ADF/Anti_CBASS/acb2	JQ067091_acb2_1	1	1	1.0	1.0	1	acb2	mandatory	121	4.899999999999999e-35	111.8	0.905	0.702	1	85			Anti_CBASS	acb2	Antidefense
JQ762257	JQ762257_5	acrif1	5	defense-finder-models/ADF/Anti_CRISPR/acrif1	JQ762257_acrif1_2	1	1	0.143	1.5	1	acrif1	mandatory	79	2.4e-51	163.6	1.0	0.987	1	78			Anti_CRISPR	acrif1	Antidefense
JQ762257	JQ762257_6	aca1	6	defense-finder-models/ADF/Anti_CRISPR/acrif1	JQ762257_acrif1_2	1	1	0.143	1.5	1	aca1	accessory	75	8.7e-40	126.7	0.958	0.92	3	71		JQ762257_Aca_alone_1	Anti_CRISPR	acrif1	Antidefense
JX131330	JX131330_74	klca	74	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	JX131330_ardb_klca_acric11_1	1	1	1.0	0.8	1	ardb	mandatory	138	6.6e-50	161.2	0.822	0.978	3	137			Anti_RM	ardb_klca_acric11	Antidefense
JX233784	JX233784_179	tad1	179	defense-finder-models/ADF/Anti_Thoeris/tad1	JX233784_tad1_1	1	1	1.0	1.0	1	tad1	mandatory	231	1.1e-21	71.6	0.835	0.468	120	227			Anti_Thoeris	tad1	Antidefense
JX434030	JX434030_5	acrie1	5	defense-finder-models/ADF/Anti_CRISPR/acrie1	JX434030_acrie1_2	1	1	0.143	1.5	1	acrie1	mandatory	101	6.300000000000001e-60	191.8	0.99	0.99	1	100			Anti_CRISPR	acrie1	Antidefense
JX434030	JX434030_6	acrif3	6	defense-finder-models/ADF/Anti_CRISPR/acrif3	JX434030_acrif3_3	1	1	0.143	1.5	1	acrif3	mandatory	140	1.5e-85	276.4	0.993	0.986	1	138			Anti_CRISPR	acrif3	Antidefense
JX434030	JX434030_7	acrif5	7	defense-finder-models/ADF/Anti_CRISPR/acrif5	JX434030_acrif5_4	1	1	0.143	1.5	1	acrif5	mandatory	80	1.7000000000000002e-58	186.5	1.0	0.988	1	79			Anti_CRISPR	acrif5	Antidefense
JX434030	JX434030_8	aca1	8	defense-finder-models/ADF/Anti_CRISPR/acrie1	JX434030_acrie1_2	1	1	0.143	1.5	1	aca1	accessory	74	7.8e-41	130.1	0.972	0.946	1	70		JX434030_Aca_alone_1,JX434030_acrif3_3,JX434030_acrif5_4	Anti_CRISPR	acrie1	Antidefense
JX434030	JX434030_8	aca1	8	defense-finder-models/ADF/Anti_CRISPR/acrif3	JX434030_acrif3_3	1	1	0.143	1.5	1	aca1	accessory	74	7.8e-41	130.1	0.972	0.946	1	70		JX434030_Aca_alone_1,JX434030_acrie1_2,JX434030_acrif5_4	Anti_CRISPR	acrif3	Antidefense
