accession	replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_7	acrie1	7	defense-finder-models/ADF/Anti_CRISPR/acrie1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_acrie1_2	1	1	0.143	1.5	1	acrie1	mandatory	101	3.2000000000000003e-59	189.7	0.99	0.99	1	100			Anti_CRISPR	acrie1	Antidefense
GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_8	acrif3	8	defense-finder-models/ADF/Anti_CRISPR/acrif3	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_acrif3_3	1	1	0.143	1.5	1	acrif3	mandatory	138	1.1e-84	273.8	0.986	0.993	1	137			Anti_CRISPR	acrif3	Antidefense
GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_9	acrif5	9	defense-finder-models/ADF/Anti_CRISPR/acrif5	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_acrif5_4	1	1	0.143	1.5	1	acrif5	mandatory	80	2.9000000000000003e-58	186.0	1.0	0.988	1	79			Anti_CRISPR	acrif5	Antidefense
GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_10	aca1	10	defense-finder-models/ADF/Anti_CRISPR/acrie1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_acrie1_2	1	1	0.143	1.5	1	aca1	accessory	68	1.6e-35	113.3	0.958	0.971	1	66		GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_Aca_alone_1,GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_acrif3_3,GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_acrif5_4	Anti_CRISPR	acrie1	Antidefense
GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_10	aca1	10	defense-finder-models/ADF/Anti_CRISPR/acrif3	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_acrif3_3	1	1	0.143	1.5	1	aca1	accessory	68	1.6e-35	113.3	0.958	0.971	1	66		GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_Aca_alone_1,GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_acrie1_2,GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_acrif5_4	Anti_CRISPR	acrif3	Antidefense
GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_10	aca1	10	defense-finder-models/ADF/Anti_CRISPR/acrif5	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_acrif5_4	1	1	0.143	1.5	1	aca1	accessory	68	1.6e-35	113.3	0.958	0.971	1	66		GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_Aca_alone_1,GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_acrie1_2,GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_acrif3_3	Anti_CRISPR	acrif5	Antidefense
GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_19	ardk	19	defense-finder-models/ADF/Anti_RM/ardk	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_ardk_5	1	1	1.0	1.0	1	ardk	mandatory	140	5.8e-39	124.6	0.909	0.7	39	136			Anti_RM	ardk	Antidefense
GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1_58	vcrx093	58	defense-finder-models/ADF/Anti_CRISPR/vcrx091_093	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1_vcrx091_093_2	1	1	0.667	2.0	1	vcrx093	mandatory	348	1.3000000000000001e-122	402.8	0.945	0.957	1	333			Anti_CRISPR	vcrx091_093	Antidefense
GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1_64	vcrx091	64	defense-finder-models/ADF/Anti_CRISPR/vcrx091_093	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1_vcrx091_093_2	1	1	0.667	2.0	1	vcrx091	mandatory	178	5.2e-84	274.6	0.68	0.955	1	170			Anti_CRISPR	vcrx091_093	Antidefense
GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1_164	aca4	164	defense-finder-models/ADF/Anti_CRISPR/Aca_alone	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1_Aca_alone_1	1	1	0.077	1.0	1	aca4	mandatory	74	5.3e-18	58.8	0.971	0.919	4	71			Anti_CRISPR	Aca_alone	Antidefense
GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_2	klca	2	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_ardb_klca_acric11_4	1	1	1.0	0.8	1	ardb	mandatory	142	3.4e-57	183.9	0.865	0.993	1	141			Anti_RM	ardb_klca_acric11	Antidefense
GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_26	aca1	26	defense-finder-models/ADF/Anti_CRISPR/acrif3	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_acrif3_2	1	1	0.143	1.5	1	aca1	accessory	68	1.3e-35	112.9	0.958	0.971	1	66		GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_Aca_alone_1,GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_acrif5_3	Anti_CRISPR	acrif3	Antidefense
GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_26	aca1	26	defense-finder-models/ADF/Anti_CRISPR/acrif5	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_acrif5_3	1	1	0.143	1.5	1	aca1	accessory	68	1.3e-35	112.9	0.958	0.971	1	66		GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_Aca_alone_1,GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_acrif3_2	Anti_CRISPR	acrif5	Antidefense
GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_27	acrif5	27	defense-finder-models/ADF/Anti_CRISPR/acrif5	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_acrif5_3	1	1	0.143	1.5	1	acrif5	mandatory	80	1.4e-57	183.0	1.0	0.988	1	79			Anti_CRISPR	acrif5	Antidefense
GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_28	acrif3	28	defense-finder-models/ADF/Anti_CRISPR/acrif3	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_acrif3_2	1	1	0.143	1.5	1	acrif3	mandatory	141	5.6e-85	274.0	0.986	0.972	1	137			Anti_CRISPR	acrif3	Antidefense
GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_11	acrie1	11	defense-finder-models/ADF/Anti_CRISPR/acrie1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_acrie1_2	1	1	0.143	1.5	1	acrie1	mandatory	101	3.6e-59	189.7	0.99	0.99	1	100			Anti_CRISPR	acrie1	Antidefense
GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_12	acrif3	12	defense-finder-models/ADF/Anti_CRISPR/acrif3	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_acrif3_3	1	1	0.143	1.5	1	acrif3	mandatory	141	2.3e-82	266.4	0.986	0.993	1	140			Anti_CRISPR	acrif3	Antidefense
GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_13	acrif5	13	defense-finder-models/ADF/Anti_CRISPR/acrif5	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_acrif5_4	1	1	0.143	1.5	1	acrif5	mandatory	80	1.9000000000000002e-58	186.7	1.0	0.988	1	79			Anti_CRISPR	acrif5	Antidefense
GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_14	aca1	14	defense-finder-models/ADF/Anti_CRISPR/acrie1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_acrie1_2	1	1	0.143	1.5	1	aca1	accessory	68	1.7999999999999998e-35	113.3	0.958	0.971	1	66		GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_Aca_alone_1,GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_acrif3_3,GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_acrif5_4	Anti_CRISPR	acrie1	Antidefense
GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_14	aca1	14	defense-finder-models/ADF/Anti_CRISPR/acrif3	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_acrif3_3	1	1	0.143	1.5	1	aca1	accessory	68	1.7999999999999998e-35	113.3	0.958	0.971	1	66		GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_Aca_alone_1,GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_acrie1_2,GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_acrif5_4	Anti_CRISPR	acrif3	Antidefense
GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_14	aca1	14	defense-finder-models/ADF/Anti_CRISPR/acrif5	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_acrif5_4	1	1	0.143	1.5	1	aca1	accessory	68	1.7999999999999998e-35	113.3	0.958	0.971	1	66		GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_Aca_alone_1,GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_acrie1_2,GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_acrif3_3	Anti_CRISPR	acrif5	Antidefense
GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_22	ardk	22	defense-finder-models/ADF/Anti_RM/ardk	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_ardk_6	1	1	1.0	1.0	1	ardk	mandatory	103	6.4e-40	127.8	0.909	0.951	2	99			Anti_RM	ardk	Antidefense
GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_65	klca	65	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_ardb_klca_acric11_5	1	1	1.0	0.8	1	ardb	mandatory	106	1.5e-46	150.1	0.638	0.991	1	105			Anti_RM	ardb_klca_acric11	Antidefense
GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_3	klca	3	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_ardb_klca_acric11_4	1	1	1.0	0.8	1	ardb	mandatory	142	4.4e-57	183.9	0.865	0.993	1	141			Anti_RM	ardb_klca_acric11	Antidefense
GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_34	aca1	34	defense-finder-models/ADF/Anti_CRISPR/acrif3	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_acrif3_2	1	1	0.143	1.5	1	aca1	accessory	68	1.6e-35	112.9	0.958	0.971	1	66		GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_Aca_alone_1,GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_acrif5_3	Anti_CRISPR	acrif3	Antidefense
GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_34	aca1	34	defense-finder-models/ADF/Anti_CRISPR/acrif5	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_acrif5_3	1	1	0.143	1.5	1	aca1	accessory	68	1.6e-35	112.9	0.958	0.971	1	66		GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_Aca_alone_1,GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_acrif3_2	Anti_CRISPR	acrif5	Antidefense
GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_35	acrif5	35	defense-finder-models/ADF/Anti_CRISPR/acrif5	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_acrif5_3	1	1	0.143	1.5	1	acrif5	mandatory	80	1.9000000000000002e-57	183.0	1.0	0.988	1	79			Anti_CRISPR	acrif5	Antidefense
GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_36	acrif3	36	defense-finder-models/ADF/Anti_CRISPR/acrif3	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_acrif3_2	1	1	0.143	1.5	1	acrif3	mandatory	141	7.3e-85	274.0	0.986	0.972	1	137			Anti_CRISPR	acrif3	Antidefense
GCA_018598285.3_ASM1859828v3_genomic_all_plasmids.part_CP086065.1	GCA_018598285.3_ASM1859828v3_genomic_all_plasmids.part_CP086065.1	GCA_018598285.3_ASM1859828v3_genomic_all_plasmids.part_CP086065.1_29	ardk	29	defense-finder-models/ADF/Anti_RM/ardk	GCA_018598285.3_ASM1859828v3_genomic_all_plasmids.part_CP086065.1_ardk_1	1	1	1.0	1.0	1	ardk	mandatory	105	1.1e-37	120.6	0.918	0.971	2	103			Anti_RM	ardk	Antidefense
GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_2	klca	2	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_ardb_klca_acric11_4	1	1	1.0	0.8	1	ardb	mandatory	142	4.4e-57	183.9	0.865	0.993	1	141			Anti_RM	ardb_klca_acric11	Antidefense
GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_34	aca1	34	defense-finder-models/ADF/Anti_CRISPR/acrif3	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_acrif3_2	1	1	0.143	1.5	1	aca1	accessory	68	1.6999999999999999e-35	112.9	0.958	0.971	1	66		GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_Aca_alone_1,GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_acrif5_3	Anti_CRISPR	acrif3	Antidefense
GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_34	aca1	34	defense-finder-models/ADF/Anti_CRISPR/acrif5	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_acrif5_3	1	1	0.143	1.5	1	aca1	accessory	68	1.6999999999999999e-35	112.9	0.958	0.971	1	66		GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_Aca_alone_1,GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_acrif3_2	Anti_CRISPR	acrif5	Antidefense
GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_35	acrif5	35	defense-finder-models/ADF/Anti_CRISPR/acrif5	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_acrif5_3	1	1	0.143	1.5	1	acrif5	mandatory	80	1.9000000000000002e-57	183.0	1.0	0.988	1	79			Anti_CRISPR	acrif5	Antidefense
GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_36	acrif3	36	defense-finder-models/ADF/Anti_CRISPR/acrif3	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_acrif3_2	1	1	0.143	1.5	1	acrif3	mandatory	141	7.5e-85	274.0	0.986	0.972	1	137			Anti_CRISPR	acrif3	Antidefense
GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_3	klca	3	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_ardb_klca_acric11_4	1	1	1.0	0.8	1	ardb	mandatory	142	4.6e-57	183.9	0.865	0.993	1	141			Anti_RM	ardb_klca_acric11	Antidefense
