accession	sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_ardb_klca_acric11_4	Anti_RM	ardb_klca_acric11	Antidefense	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_2	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_2	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_2	1	klca
GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_acrif3_2	Anti_CRISPR	acrif3	Antidefense	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_26	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_28	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_26,GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_28	2	aca1,acrif3
GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_acrif3_2	Anti_CRISPR	acrif3	Antidefense	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_26	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_28	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_26,GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_28	2	aca1,acrif3
GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_acrif5_3	Anti_CRISPR	acrif5	Antidefense	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_26	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_27	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_26,GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_27	2	aca1,acrif5
GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_acrif5_3	Anti_CRISPR	acrif5	Antidefense	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_26	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_27	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_26,GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_27	2	aca1,acrif5
GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_acrie1_2	Anti_CRISPR	acrie1	Antidefense	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_11	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_14	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_11,GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_14	2	aca1,acrie1
GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_acrif3_3	Anti_CRISPR	acrif3	Antidefense	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_12	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_14	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_12,GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_14	2	aca1,acrif3
GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_acrif5_4	Anti_CRISPR	acrif5	Antidefense	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_13	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_14	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_13,GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_14	2	aca1,acrif5
GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_ardk_6	Anti_RM	ardk	Antidefense	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_22	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_22	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_22	1	ardk
GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_ardb_klca_acric11_5	Anti_RM	ardb_klca_acric11	Antidefense	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_65	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_65	GCA_015832055.1_ASM1583205v1_genomic_all_plasmids.part_CP065414.1_65	1	klca
GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_ardb_klca_acric11_4	Anti_RM	ardb_klca_acric11	Antidefense	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_3	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_3	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_3	1	klca
GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_acrif3_2	Anti_CRISPR	acrif3	Antidefense	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_34	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_36	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_34,GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_36	2	aca1,acrif3
GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_acrif3_2	Anti_CRISPR	acrif3	Antidefense	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_34	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_36	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_34,GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_36	2	aca1,acrif3
GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_acrif5_3	Anti_CRISPR	acrif5	Antidefense	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_34	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_35	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_34,GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_35	2	aca1,acrif5
GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_acrif5_3	Anti_CRISPR	acrif5	Antidefense	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_34	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_35	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_34,GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_35	2	aca1,acrif5
GCA_018598285.3_ASM1859828v3_genomic_all_plasmids.part_CP086065.1	GCA_018598285.3_ASM1859828v3_genomic_all_plasmids.part_CP086065.1_ardk_1	Anti_RM	ardk	Antidefense	GCA_018598285.3_ASM1859828v3_genomic_all_plasmids.part_CP086065.1_29	GCA_018598285.3_ASM1859828v3_genomic_all_plasmids.part_CP086065.1_29	GCA_018598285.3_ASM1859828v3_genomic_all_plasmids.part_CP086065.1_29	1	ardk
GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_ardb_klca_acric11_4	Anti_RM	ardb_klca_acric11	Antidefense	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_2	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_2	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_2	1	klca
GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_acrif3_2	Anti_CRISPR	acrif3	Antidefense	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_34	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_36	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_34,GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_36	2	aca1,acrif3
GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_acrif3_2	Anti_CRISPR	acrif3	Antidefense	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_34	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_36	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_34,GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_36	2	aca1,acrif3
GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_acrif5_3	Anti_CRISPR	acrif5	Antidefense	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_34	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_35	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_34,GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_35	2	aca1,acrif5
GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_acrif5_3	Anti_CRISPR	acrif5	Antidefense	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_34	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_35	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_34,GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_35	2	aca1,acrif5
GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_ardb_klca_acric11_4	Anti_RM	ardb_klca_acric11	Antidefense	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_3	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_3	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_3	1	klca
GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_acrif3_2	Anti_CRISPR	acrif3	Antidefense	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_37	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_39	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_37,GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_39	2	aca1,acrif3
GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_acrif3_2	Anti_CRISPR	acrif3	Antidefense	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_37	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_39	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_37,GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_39	2	aca1,acrif3
GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_acrif5_3	Anti_CRISPR	acrif5	Antidefense	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_37	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_38	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_37,GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_38	2	aca1,acrif5
GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_acrif5_3	Anti_CRISPR	acrif5	Antidefense	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_37	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_38	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_37,GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_38	2	aca1,acrif5
GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081203.1	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081203.1_ardb_klca_acric11_1	Anti_RM	ardb_klca_acric11	Antidefense	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081203.1_3	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081203.1_3	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081203.1_3	1	klca
GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_ardk_5	Anti_RM	ardk	Antidefense	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_15	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_15	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_15	1	ardk
GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_acrie2_2	Anti_CRISPR	acrie2	Antidefense	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_21	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_24	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_21,GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_24	2	aca1,acrie2
GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_acrif3_3	Anti_CRISPR	acrif3	Antidefense	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_22	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_24	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_22,GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_24	2	aca1,acrif3
GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_acrif5_4	Anti_CRISPR	acrif5	Antidefense	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_23	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_24	GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_23,GCA_019710495.1_ASM1971049v1_genomic_all_plasmids.part_CP081204.1_24	2	aca1,acrif5
GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1	GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_ardk_5	Anti_RM	ardk	Antidefense	GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_8	GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_8	GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_8	1	ardk
GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1	GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_acrie2_2	Anti_CRISPR	acrie2	Antidefense	GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_20	GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_23	GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_20,GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_23	2	aca1,acrie2
GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1	GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_acrif3_3	Anti_CRISPR	acrif3	Antidefense	GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_21	GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_23	GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_21,GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_23	2	aca1,acrif3
GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1	GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_acrif5_4	Anti_CRISPR	acrif5	Antidefense	GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_22	GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_23	GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_22,GCA_019711215.1_ASM1971121v1_genomic_all_plasmids.part_CP081288.1_23	2	aca1,acrif5
GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081347.1	GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081347.1_ardk_1	Anti_RM	ardk	Antidefense	GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081347.1_14	GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081347.1_14	GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081347.1_14	1	ardk
GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081349.1	GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081349.1_ardb_klca_acric11_1	Anti_RM	ardb_klca_acric11	Antidefense	GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081349.1_4	GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081349.1_4	GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081349.1_4	1	klca
GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081349.1	GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081349.1_ardb_klca_acric11_2	Anti_RM	ardb_klca_acric11	Antidefense	GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081349.1_33	GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081349.1_33	GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081349.1_33	1	klca
GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081349.1	GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081349.1_ardk_3	Anti_RM	ardk	Antidefense	GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081349.1_45	GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081349.1_45	GCA_019720855.1_ASM1972085v1_genomic_all_plasmids.part_CP081349.1_45	1	ardk
